round_epochs,val_loss,loss,regularizer,Dropout,hidden_layers,hidden_nodes,epochs,patience
41,13.412744398796464,13.425282148920667,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,1,200,1000,5
54,14.294301664609078,14.187039015652234,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,1,200,1000,3
36,13.147351282567652,13.110823416358887,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.1,2,75,1000,3
110,13.087194868002214,13.033014058796763,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.1,0,75,1000,5
138,13.295143386619387,12.700140134394506,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.1,2,150,1000,10
123,13.461470762469208,13.540001899442748,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,1,75,1000,5
195,13.317702323591488,13.399401624772448,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,1,200,1000,10
73,13.122427170383585,13.128601067738517,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.1,0,200,1000,3
208,13.398005140802791,13.21840943566535,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.1,0,75,1000,10
95,13.213709803558592,13.365698983958191,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,0,200,1000,5
269,13.278948074280429,13.706774356276101,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.3,0,200,1000,10
124,13.32281770932643,13.371314501303374,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.2,1,150,1000,5
110,12.876696246909592,12.997562414927499,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,1,150,1000,10
118,13.063681459049436,13.146522675338176,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,0,200,1000,5
134,12.61628206298345,12.2592851362304,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,1,200,1000,10
65,12.978060519789643,12.814613417887877,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,1,200,1000,5
68,13.212100114545596,13.293315276149174,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.2,0,150,1000,3
57,14.340530526354948,14.710750376786677,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,2,200,1000,3
61,14.123963771206093,14.288844578398448,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.3,1,75,1000,3
155,13.337850095099698,13.485343576692644,<keras.regularizers.L1L2 object at 0x1a218b7898>,0.3,0,200,1000,10
54,14.378489828990443,14.607114035842912,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.3,2,75,1000,3
72,13.355990296617977,13.705596856865716,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.3,0,150,1000,3
113,12.946570183796744,12.120824112357532,<keras.regularizers.L1L2 object at 0x1a218b79e8>,0.1,1,200,1000,10
155,13.433887718220815,13.622838269813684,<keras.regularizers.L1L2 object at 0x1a218b7978>,0.2,0,200,1000,5
